metric,type,pos
assets,quarterly,num
assets_curr,quarterly,num
bookvalue_ps,annual,neut
capex,annual,neut
cash,quarterly,num
cashflow,annual,num
cashflow_dividends,annual,neut
cashflow_fin,annual,num
cashflow_invst,annual,num
cashflow_op,annual,num
cogs,quarterly,num
current_ratio,ratio,neut
debt,quarterly,denom
debt_lt,quarterly,denom
debt_st,quarterly,denom
depre_amort,quarterly,neut
EBIT,annual,num
EBITDA,annual,num
enterprise_value,quarterly,num
eps,ratio,num
equity,quarterly,num
goodwill,quarterly,neut
income,quarterly,num
income_beforeextra,quarterly,num
income_tax,quarterly,denom
interest_expense,quarterly,denom
inventory,quarterly,num
inventory_turnover,quarterly,neut
invested_capital,quarterly,num
liabilities,quarterly,denom
liabilities_curr,quarterly,denom
operating_expense,quarterly,neut
operating_income,quarterly,neut
ppent,quarterly,neut
pretax_income,quarterly,num
rd_expense,quarterly,neut
receivable,quarterly,neut
retained_earnings,quarterly,num
return_assets,ratio,neut
return_equity,ratio,neut
revenue,quarterly,num
sales,quarterly,num
sales_growth,quarterly,num
sales_ps,ratio,neut
SGA_expense,quarterly,neut
working_capital,quarterly,neut
rel_num_all,relationship_number,neut
rel_num_comp,relationship_number,neut
rel_num_cust,relationship_number,neut
rel_num_part,relationship_number,neut
rel_ret_all,relationship_percent,neut
rel_ret_comp,relationship_percent,neut
rel_ret_cust,relationship_percent,neut
rel_ret_part,relationship_percent,neut
