metric,type
news_prev_vol,vol
news_curr_vol,vol
news_mov_vol,vol
news_ratio_vol,vol
news_open_vol,vol
news_close_vol,vol
news_atr14,price
news_prev_day_ret,ret
news_prev_close,price
news_open,price
news_open_gap,price
news_ton_high,price
news_ton_low,price
news_ton_last,price
news_eod_high,price
news_eod_low,price
news_eod_close,price
news_post_vwap,price
news_pre_vwap,price
news_main_vwap,price
news_all_vwap,price
news_eod_vwap,price
news_max_up_amt,price
news_max_up_ret,ret
news_max_dn_amt,price
news_max_dn_ret,ret
news_session_range,price
news_session_range_pct,ret
news_ls,bin
news_indx_perf,ret
news_pct_30sec,ret
news_pct_1min,ret
news_pct_5_min,ret
news_pct_10min,ret
news_pct_30min,ret
news_pct_60min,ret
news_pct_90min,ret
news_pct_120min,ret
news_mins_1_pct_up,time
news_mins_2_pct_up,time
news_mins_3_pct_up,time
news_mins_4_pct_up,time
news_mins_5_pct_up,time
news_mins_7_5_pct_up,time
news_mins_10_pct_up,time
news_mins_20_pct_up,time
news_mins_1_pct_dn,time
news_mins_2_pct_dn,time
news_mins_3_pct_dn,time
news_mins_4_pct_dn,time
news_mins_5_pct_dn,time
news_mins_7_5_pct_dn,time
news_mins_10_pct_dn,time
news_mins_20_pct_dn,time
news_mins_1_chg,time
news_mins_2_chg,time
news_mins_3_chg,time
news_mins_4_chg,time
news_mins_5_chg,time
news_mins_7_5_chg,time
news_mins_10_chg,time
news_mins_20_chg,time
news_cap,cap
news_pe_ratio,ratio
news_dividend_yield,ret
news_short_interest,vol
news_high_exc_stddev,val
news_low_exc_stddev,val
news_vol_stddev,val
news_range_stddev,val
news_atr_ratio,ratio
news_eps_actual,ratio
